Genename,baseMean,log2FC,lfcSE,stat,p_value,padj
RNU2-63P,0.760308147,1.429117669,1.182158334,1.208905464,0.226699167,NA
SEC24AP1,4.231717287,1.425896451,0.696872165,2.04613776,0.040742819,NA
RPSAP22,0.53858394,1.425436225,0.95751733,1.488679297,0.136571839,NA
SHROOM1,3861.955933,1.424694228,0.705293739,2.02000124,0.043383259,0.546008065
BMP5,80.36144563,1.421994711,0.826231944,1.721059953,0.085239945,0.657967531
RNU6-795P,0.474825951,1.420657579,1.195683981,1.188154731,0.234772455,NA
OR7E117P,0.559121726,1.418249818,1.229334137,1.153673175,0.248634185,NA
LINC02410,0.880380241,1.415410819,1.223634369,1.156726924,0.247383946,NA
STAC2,3227.382321,1.414978941,0.956875157,1.478749794,0.139207199,0.741238382
LPL,2968.267609,1.41396646,0.680063798,2.079167373,0.037601969,0.518001277
CASP12,9.467764154,1.413637453,0.488357384,2.894678156,0.003795475,0.237980074
SMLR1,1.475551248,1.412213673,0.881670558,1.60174757,0.109211441,NA
RNA5SP463,0.217961318,1.411812673,1.73759873,0.812507888,0.416500263,NA
KLB,118.6312129,1.411490111,0.582125408,2.424718269,0.015320271,0.385698151
MGAT4D,0.878253848,1.411224771,0.912303022,1.546881614,0.121891795,NA
ATP5F1AP10,0.062104247,1.40784887,5.413385887,0.260068079,0.79481126,NA
PDE8B,698.5995593,1.406030064,0.502749865,2.796679146,0.005163078,0.262702514
RNU6-342P,1.859608703,1.405509648,1.176152141,1.195006665,0.232084426,NA
TP53TG3D,3.855655566,1.405496379,0.77038101,1.824417219,0.068089021,NA
BMPR1B,6118.546576,1.402912709,0.984294052,1.425298371,0.154070971,0.758016524
PRTN3,10.61412926,1.401617775,1.087998624,1.288253261,0.197657817,0.795406487
ECEL1P3,0.67766437,1.401597439,1.619258937,0.86557956,0.386720769,NA
DDHD2,3568.725866,1.400648715,0.437108873,3.204347477,0.00135369,0.161633169
LIM2,0.406611213,1.399438556,1.284030937,1.089879158,0.275766379,NA
KCNAB1-AS1,0.49115479,1.397271932,1.634210974,0.855013186,0.392543848,NA
ZIC2,124.8350309,1.396978118,1.019626369,1.37008826,0.170659352,0.771802126
RNU6-1020P,0.157567623,1.396515746,3.423878647,0.407875363,0.683365181,NA
FRG2C,2.555766302,1.396221395,1.086259089,1.285348412,0.19867056,NA
LINC01665,4.23808919,1.395031004,1.395353368,0.999768974,0.317422324,NA
BMPR1B-DT,46.83630938,1.39347008,1.469698225,0.948133472,0.34306151,0.870509733
LINC02461,10.17260813,1.388882991,0.792113697,1.753388429,0.079535356,0.6429686
ADORA1,909.9280549,1.385083924,0.489545603,2.829325635,0.004664621,0.252506763
MMRN1,419.2995763,1.384346318,0.717257083,1.930055975,0.053599903,0.585307373
NLRP8,8.735676036,1.38155494,0.988327869,1.397871074,0.162151786,0.76427623
ISCA1P4,3.558180351,1.376402888,0.551286552,2.496710436,0.012535127,NA
RNU6-31P,0.275665072,1.373482261,1.420108139,0.967167375,0.333460369,NA
TRIM58,170.3086126,1.369464541,0.804041571,1.70322604,0.088525775,0.663503994
FGF3,0.889449113,1.369347935,1.108762469,1.235023707,0.216821681,NA
SP3P,0.271620064,1.368291335,1.372526711,0.996914176,0.31880617,NA
ATP1A2,264.1337535,1.366618464,0.820496751,1.665598873,0.095793336,0.674146276
OR4K11P,1.770503064,1.365337948,1.271695151,1.073636198,0.282985767,NA
MAGEB6B,0.270026704,1.365153641,4.126977081,0.330787793,0.740804782,NA
Z82195.2,3.992453714,1.363897093,0.814773265,1.673959065,0.094138645,NA
CU639417.4,0.360026256,1.363673595,1.532666449,0.889739314,0.373605879,NA
MTCYBP34,0.097403517,1.363535717,2.907145565,0.469029048,0.639048873,NA
CCN3,631.0718958,1.363206549,0.538903263,2.529594166,0.011419453,0.35380932
CPA1,8.102967339,1.360371244,0.797977937,1.704773003,0.088236768,0.663503994
CHAD,1172.510579,1.355244066,0.75652814,1.791399413,0.073229223,0.63177349
CTTNBP2,188.1657841,1.354321301,0.510214438,2.654415867,0.007944585,0.311235658
