"","Coef_ridge","s0","tcross"
"TSPAN8",NA,-0.0104460996670455,1
"AXIN2",NA,0.0169416030655222,1
"SHC2",NA,-0.0051952317343953,1
"DVL2",NA,-0.0124079641820378,1
"MS4A7",NA,0.0164188979329564,1
"PAIP1",NA,0.0219360569850628,1
"MSI2",NA,-0.000379419621682699,1
"HES5",NA,0.0334811761726103,1
"CGA",NA,-0.0188550820915331,1
"ERBB2",NA,-0.0254849305747766,1
"MMP9",NA,-0.0215492937749319,1
"TNC",NA,-0.00851427195699385,1
"SPP1",NA,-0.00613770947574878,1
"KIT",NA,-0.0187554645644556,1
"JAG2",NA,0.00261492832295639,1
"ITGB3",NA,0.00321216868096571,1
"ENG",NA,0.0279160822772645,1
"FOXE1",NA,-0.0277613369117746,1
"KATNB1",NA,0.0069004802255651,1
"STIP1",NA,0.0223023620120706,1
"MTOR",NA,-0.0130301061614412,1
"IGFBP5",NA,0.0257680244772816,1
"ARAF",NA,0.0155176909199953,1
"LOXL2",NA,-0.0304202575191003,1
"SHC3",NA,0.01208790645403,1
"ALDH3A1",NA,-0.0312578700336898,1
"NQO1",NA,-0.00879561617426153,1
"FGF16",NA,0.0061643338900838,1
"CHRNA9",NA,-0.0226743645381324,1
"CDHR4",NA,-0.0151807008952902,1
"NRAS",NA,-0.0210613290561349,1
"FRAT2",NA,-0.00887845600662187,1
"TAT",NA,-0.0244387968104179,1
"SMN1",NA,0.0106625361398787,1
"RHBDD1",NA,-0.00392209329764312,1
"LTK",NA,-0.0182152407978943,1
"KLHDC7B",NA,-0.0387216531193824,1
"DVL3",NA,0.00593478482721831,1
"DHX32",NA,0.0267379655614397,1
"PCDH11X",NA,-0.0001248993618201,1
"IHH",NA,-0.0180524070869769,1
"FGF10",NA,-0.00749467276212302,1
"CXCL6",NA,0.00142435839108712,1
"CXCL13",NA,-0.0188930494433693,1
"HDC",NA,-0.0185504995750807,1
"FGF18",NA,0.0152537287706424,1
"WNT6",NA,0.0169376400231718,1
"PDIA2",NA,0.00560871320701149,1
"RAF1",NA,0.00185086851899987,1
"RPLP1",NA,-0.0379393326534995,1
"TRH",NA,-0.0357540729688862,1
"EGLN1",NA,-0.0290893238788815,1
"PIWIL2",NA,0.00497752907580295,1
"WNT9B",NA,0.0196185614793038,1
"COL11A2",NA,-0.00649543586481308,1
"TGFB3",NA,-0.00878408481319005,1
"SFTPA1",NA,-0.0201811215298339,1
"LBP",NA,-0.0184733229778352,1
"CXCL1",NA,-0.0146147952365197,1
"CST4",NA,-0.0244982966516303,1
"CA6",NA,-0.00822232008162491,1
"ADH7",NA,-0.025532757727899,1
"GRIA1",NA,0.0170357046591402,1
"CD274",NA,-0.0143029412850953,1
"COL9A1",NA,-0.00674957217841803,1
"GPR180",NA,0.0273625270154273,1
"TP53INP1",NA,0.0172442189827422,1
"DDX3X",NA,0.0252367014376356,1
"UCHL5",NA,0.000805955472214775,1
"TCP11",NA,-0.0162498743192151,1
"RSPO2",NA,0.017278418686611,1
"MUC2",NA,0.00744522171450733,1
"MSLN",NA,0.0169503016769061,1
